dataset,documents,k,min_shingles,threshold,hash_family,seed,num_hashes,num_bands,rows_per_band,ground_truth_pairs,lsh_candidate_pairs,total_possible_pairs,candidate_fraction,candidate_reduction,true_positives,false_positives,false_negatives,precision,recall,f1_score,ground_truth_time_seconds,shingling_time_seconds,signature_time_seconds,lsh_time_seconds,total_runtime_seconds
20_newsgroups,2000,3,20,0.1,linear,42,100,50,2,61,176,1999000,8.8e-05,0.999912,51,125,10,0.289773,0.836066,0.43038,41.89639,0.58217,5.355791,0.202597,6.140558
20_newsgroups,2000,3,20,0.1,linear,42,100,25,4,61,12,1999000,6e-06,0.999994,12,0,49,1.0,0.196721,0.328767,41.89639,0.58217,5.355791,0.048419,5.98638
20_newsgroups,2000,3,20,0.1,linear,42,100,10,10,61,3,1999000,2e-06,0.999998,3,0,58,1.0,0.04918,0.09375,41.89639,0.58217,5.355791,0.020229,5.95819
20_newsgroups,2000,3,20,0.1,linear,42,100,20,5,61,7,1999000,4e-06,0.999996,7,0,54,1.0,0.114754,0.205882,41.89639,0.58217,5.355791,0.037478,5.975439
20_newsgroups,2000,3,20,0.1,linear,42,200,50,4,61,19,1999000,1e-05,0.99999,19,0,42,1.0,0.311475,0.475,41.89639,0.58217,27.311819,0.442362,28.336351
20_newsgroups,2000,3,20,0.1,linear,42,200,100,2,61,244,1999000,0.000122,0.999878,55,189,6,0.22541,0.901639,0.360656,41.89639,0.58217,27.311819,1.124586,29.018575
20_newsgroups,2000,3,20,0.1,murmur,42,100,50,2,61,125,1999000,6.3e-05,0.999937,49,76,12,0.392,0.803279,0.526882,41.89639,0.58217,19.125758,0.257816,19.965744
20_newsgroups,2000,3,20,0.1,murmur,42,100,25,4,61,10,1999000,5e-06,0.999995,10,0,51,1.0,0.163934,0.28169,41.89639,0.58217,19.125758,0.076533,19.784461
20_newsgroups,2000,3,20,0.1,murmur,42,100,10,10,61,1,1999000,1e-06,0.999999,1,0,60,1.0,0.016393,0.032258,41.89639,0.58217,19.125758,0.050623,19.758552
20_newsgroups,2000,3,20,0.1,murmur,42,100,20,5,61,6,1999000,3e-06,0.999997,6,0,55,1.0,0.098361,0.179104,41.89639,0.58217,19.125758,0.052167,19.760096
20_newsgroups,2000,3,20,0.1,murmur,42,200,50,4,61,16,1999000,8e-06,0.999992,16,0,45,1.0,0.262295,0.415584,41.89639,0.58217,37.023496,0.453502,38.059168
20_newsgroups,2000,3,20,0.1,murmur,42,200,100,2,61,223,1999000,0.000112,0.999888,53,170,8,0.237668,0.868852,0.373239,41.89639,0.58217,37.023496,0.992282,38.597948
20_newsgroups,2000,3,20,0.1,tabulation,42,100,50,2,61,140,1999000,7e-05,0.99993,42,98,19,0.3,0.688525,0.41791,41.89639,0.58217,14.052362,0.450935,15.085467
20_newsgroups,2000,3,20,0.1,tabulation,42,100,25,4,61,11,1999000,6e-06,0.999994,11,0,50,1.0,0.180328,0.305556,41.89639,0.58217,14.052362,0.253084,14.887617
20_newsgroups,2000,3,20,0.1,tabulation,42,100,10,10,61,2,1999000,1e-06,0.999999,2,0,59,1.0,0.032787,0.063492,41.89639,0.58217,14.052362,0.108181,14.742714
20_newsgroups,2000,3,20,0.1,tabulation,42,100,20,5,61,5,1999000,3e-06,0.999997,5,0,56,1.0,0.081967,0.151515,41.89639,0.58217,14.052362,0.207916,14.842449
20_newsgroups,2000,3,20,0.1,tabulation,42,200,50,4,61,13,1999000,7e-06,0.999993,13,0,48,1.0,0.213115,0.351351,41.89639,0.58217,21.717506,0.631631,22.931307
20_newsgroups,2000,3,20,0.1,tabulation,42,200,100,2,61,213,1999000,0.000107,0.999893,47,166,14,0.220657,0.770492,0.343066,41.89639,0.58217,21.717506,1.106964,23.40664
20_newsgroups,2000,5,20,0.1,linear,42,100,50,2,57,50,1999000,2.5e-05,0.999975,42,8,15,0.84,0.736842,0.785047,46.605499,0.753009,11.462298,0.479345,12.694653
20_newsgroups,2000,5,20,0.1,linear,42,100,25,4,57,9,1999000,5e-06,0.999995,9,0,48,1.0,0.157895,0.272727,46.605499,0.753009,11.462298,0.23799,12.453298
20_newsgroups,2000,5,20,0.1,linear,42,100,10,10,57,2,1999000,1e-06,0.999999,2,0,55,1.0,0.035088,0.067797,46.605499,0.753009,11.462298,0.108594,12.323902
