dataset,documents,k,min_shingles,threshold,sample_seed,hash_seed,hash_family,num_hashes,num_bands,rows_per_band,ground_truth_pairs,lsh_candidate_pairs,total_possible_pairs,candidate_fraction,candidate_reduction,true_positives,false_positives,false_negatives,precision,recall,f1_score,ground_truth_time_seconds,shingling_time_seconds,signature_time_seconds,lsh_time_seconds,total_runtime_seconds
20_newsgroups,5000,3,20,0.200000,42,42,linear,50,5,10,188,17,12497500,0.000001,0.999999,17,0,171,1.000000,0.090426,0.165854,63.726390,1.377864,1.854085,0.099900,3.331849
20_newsgroups,5000,3,20,0.200000,42,42,linear,50,10,5,188,33,12497500,0.000003,0.999997,33,0,155,1.000000,0.175532,0.298643,63.726390,1.377864,1.854085,0.019866,3.251815
20_newsgroups,5000,3,20,0.200000,42,42,linear,50,25,2,188,387,12497500,0.000031,0.999969,156,231,32,0.403101,0.829787,0.542609,63.726390,1.377864,1.854085,0.107173,3.339123
20_newsgroups,5000,3,20,0.200000,42,42,linear,100,10,10,188,20,12497500,0.000002,0.999998,20,0,168,1.000000,0.106383,0.192308,63.726390,1.377864,2.919871,0.020536,4.318271
20_newsgroups,5000,3,20,0.200000,42,42,linear,100,20,5,188,43,12497500,0.000003,0.999997,43,0,145,1.000000,0.228723,0.372294,63.726390,1.377864,2.919871,0.102899,4.400634
20_newsgroups,5000,3,20,0.200000,42,42,linear,100,25,4,188,67,12497500,0.000005,0.999995,65,2,123,0.970149,0.345745,0.509804,63.726390,1.377864,2.919871,0.122385,4.420120
20_newsgroups,5000,3,20,0.200000,42,42,linear,100,50,2,188,680,12497500,0.000054,0.999946,184,496,4,0.270588,0.978723,0.423963,63.726390,1.377864,2.919871,0.231524,4.529259
20_newsgroups,5000,3,20,0.200000,42,42,linear,200,20,10,188,22,12497500,0.000002,0.999998,22,0,166,1.000000,0.117021,0.209524,63.726390,1.377864,5.087476,0.106936,6.572277
20_newsgroups,5000,3,20,0.200000,42,42,linear,200,40,5,188,51,12497500,0.000004,0.999996,51,0,137,1.000000,0.271277,0.426778,63.726390,1.377864,5.087476,0.205921,6.671261
20_newsgroups,5000,3,20,0.200000,42,42,linear,200,50,4,188,84,12497500,0.000007,0.999993,81,3,107,0.964286,0.430851,0.595588,63.726390,1.377864,5.087476,0.231960,6.697300
20_newsgroups,5000,3,20,0.200000,42,42,linear,200,100,2,188,1139,12497500,0.000091,0.999909,188,951,0,0.165057,1.000000,0.283346,63.726390,1.377864,5.087476,0.456999,6.922339
20_newsgroups,5000,3,20,0.200000,42,42,murmur,50,5,10,188,17,12497500,0.000001,0.999999,17,0,171,1.000000,0.090426,0.165854,63.726390,1.377864,7.708224,0.010277,9.096365
20_newsgroups,5000,3,20,0.200000,42,42,murmur,50,10,5,188,27,12497500,0.000002,0.999998,27,0,161,1.000000,0.143617,0.251163,63.726390,1.377864,7.708224,0.019578,9.105666
20_newsgroups,5000,3,20,0.200000,42,42,murmur,50,25,2,188,586,12497500,0.000047,0.999953,170,416,18,0.290102,0.904255,0.439276,63.726390,1.377864,7.708224,0.111095,9.197182
20_newsgroups,5000,3,20,0.200000,42,42,murmur,100,10,10,188,18,12497500,0.000001,0.999999,18,0,170,1.000000,0.095745,0.174757,63.726390,1.377864,15.499316,0.079532,16.956712
20_newsgroups,5000,3,20,0.200000,42,42,murmur,100,20,5,188,36,12497500,0.000003,0.999997,36,0,152,1.000000,0.191489,0.321429,63.726390,1.377864,15.499316,0.103756,16.980936
20_newsgroups,5000,3,20,0.200000,42,42,murmur,100,25,4,188,60,12497500,0.000005,0.999995,60,0,128,1.000000,0.319149,0.483871,63.726390,1.377864,15.499316,0.050456,16.927636
