dataset,documents,k,min_shingles,threshold,sample_seed,hash_seed,hash_family,num_hashes,num_bands,rows_per_band,ground_truth_pairs,lsh_candidate_pairs,total_possible_pairs,candidate_fraction,candidate_reduction,true_positives,false_positives,false_negatives,precision,recall,f1_score,ground_truth_time_seconds,shingling_time_seconds,signature_time_seconds,lsh_time_seconds,total_runtime_seconds
reuters,5000,3,20,0.200000,42,42,linear,50,5,10,406,83,12497500,0.000007,0.999993,83,0,323,1.000000,0.204433,0.339468,53.869773,0.343119,1.577033,0.022453,1.942605
reuters,5000,3,20,0.200000,42,42,linear,50,10,5,406,144,12497500,0.000012,0.999988,143,1,263,0.993056,0.352217,0.520000,53.869773,0.343119,1.577033,0.084117,2.004269
reuters,5000,3,20,0.200000,42,42,linear,50,25,2,406,6816,12497500,0.000545,0.999455,380,6436,26,0.055751,0.935961,0.105234,53.869773,0.343119,1.577033,0.115189,2.035340
reuters,5000,3,20,0.200000,42,42,linear,100,10,10,406,95,12497500,0.000008,0.999992,95,0,311,1.000000,0.233990,0.379242,53.869773,0.343119,2.613157,0.020531,2.976808
reuters,5000,3,20,0.200000,42,42,linear,100,20,5,406,169,12497500,0.000014,0.999986,168,1,238,0.994083,0.413793,0.584348,53.869773,0.343119,2.613157,0.104663,3.060940
reuters,5000,3,20,0.200000,42,42,linear,100,25,4,406,244,12497500,0.000020,0.999980,230,14,176,0.942623,0.566502,0.707692,53.869773,0.343119,2.613157,0.048482,3.004759
reuters,5000,3,20,0.200000,42,42,linear,100,50,2,406,12847,12497500,0.001028,0.998972,402,12445,4,0.031291,0.990148,0.060666,53.869773,0.343119,2.613157,0.333900,3.290176
reuters,5000,3,20,0.200000,42,42,linear,200,20,10,406,99,12497500,0.000008,0.999992,99,0,307,1.000000,0.243842,0.392079,53.869773,0.343119,4.651399,0.104929,5.099447
reuters,5000,3,20,0.200000,42,42,linear,200,40,5,406,189,12497500,0.000015,0.999985,187,2,219,0.989418,0.460591,0.628571,53.869773,0.343119,4.651399,0.139558,5.134076
reuters,5000,3,20,0.200000,42,42,linear,200,50,4,406,306,12497500,0.000024,0.999976,281,25,125,0.918301,0.692118,0.789326,53.869773,0.343119,4.651399,0.208465,5.202982
reuters,5000,3,20,0.200000,42,42,linear,200,100,2,406,24789,12497500,0.001984,0.998016,406,24383,0,0.016378,1.000000,0.032229,53.869773,0.343119,4.651399,0.374580,5.369098
reuters,5000,3,20,0.200000,42,42,murmur,50,5,10,406,75,12497500,0.000006,0.999994,75,0,331,1.000000,0.184729,0.311850,53.869773,0.343119,5.375861,0.012235,5.731214
reuters,5000,3,20,0.200000,42,42,murmur,50,10,5,406,129,12497500,0.000010,0.999990,129,0,277,1.000000,0.317734,0.482243,53.869773,0.343119,5.375861,0.020000,5.738980
reuters,5000,3,20,0.200000,42,42,murmur,50,25,2,406,3104,12497500,0.000248,0.999752,360,2744,46,0.115979,0.886700,0.205128,53.869773,0.343119,5.375861,0.109643,5.828623
reuters,5000,3,20,0.200000,42,42,murmur,100,10,10,406,83,12497500,0.000007,0.999993,83,0,323,1.000000,0.204433,0.339468,53.869773,0.343119,10.846302,0.082351,11.271772
reuters,5000,3,20,0.200000,42,42,murmur,100,20,5,406,155,12497500,0.000012,0.999988,155,0,251,1.000000,0.381773,0.552585,53.869773,0.343119,10.846302,0.041679,11.231100
reuters,5000,3,20,0.200000,42,42,murmur,100,25,4,406,235,12497500,0.000019,0.999981,223,12,183,0.948936,0.549261,0.695788,53.869773,0.343119,10.846302,0.108516,11.297937
reuters,5000,3,20,0.200000,42,42,murmur,100,50,2,406,8121,12497500,0.000650,0.999350,395,7726,11,0.048639,0.972906,0.092647,53.869773,0.343119,10.846302,0.224917,11.414338
reuters,5000,3,20,0.200000,42,42,murmur,200,20,10,406,93,12497500,0.000007,0.999993,93,0,313,1.000000,0.229064,0.372745,53.869773,0.343119,22.113448,0.044544,22.501111
reuters,5000,3,20,0.200000,42,42,murmur,200,40,5,406,198,12497500,0.000016,0.999984,196,2,210,0.989899,0.482759,0.649007,53.869773,0.343119,22.113448,0.206050,22.662617
reuters,5000,3,20,0.200000,42,42,murmur,200,50,4,406,275,12497500,0.000022,0.999978,253,22,153,0.920000,0.623153,0.743025,53.869773,0.343119,22.113448,0.160279,22.616846
reuters,5000,3,20,0.200000,42,42,murmur,200,100,2,406,14106,12497500,0.001129,0.998871,404,13702,2,0.028640,0.995074,0.055678,53.869773,0.343119,22.113448,0.447609,22.904176
reuters,5000,3,20,0.200000,42,42,tabulation,50,5,10,406,86,12497500,0.000007,0.999993,86,0,320,1.000000,0.211823,0.349593,53.869773,0.343119,4.421945,0.011196,4.776260
reuters,5000,3,20,0.200000,42,42,tabulation,50,10,5,406,133,12497500,0.000011,0.999989,133,0,273,1.000000,0.327586,0.493506,53.869773,0.343119,4.421945,0.020109,4.785173
reuters,5000,3,20,0.200000,42,42,tabulation,50,25,2,406,5973,12497500,0.000478,0.999522,376,5597,30,0.062950,0.926108,0.117887,53.869773,0.343119,4.421945,0.113766,4.878830
reuters,5000,3,20,0.200000,42,42,tabulation,100,10,10,406,93,12497500,0.000007,0.999993,93,0,313,1.000000,0.229064,0.372745,53.869773,0.343119,8.321375,0.021533,8.686027
reuters,5000,3,20,0.200000,42,42,tabulation,100,20,5,406,155,12497500,0.000012,0.999988,154,1,252,0.993548,0.379310,0.549020,53.869773,0.343119,8.321375,0.106267,8.770761
reuters,5000,3,20,0.200000,42,42,tabulation,100,25,4,406,228,12497500,0.000018,0.999982,217,11,189,0.951754,0.534483,0.684543,53.869773,0.343119,8.321375,0.110059,8.774553
reuters,5000,3,20,0.200000,42,42,tabulation,100,50,2,406,9268,12497500,0.000742,0.999258,398,8870,8,0.042943,0.980296,0.082282,53.869773,0.343119,8.321375,0.219461,8.883955
reuters,5000,3,20,0.200000,42,42,tabulation,200,20,10,406,99,12497500,0.000008,0.999992,99,0,307,1.000000,0.243842,0.392079,53.869773,0.343119,16.095862,0.041940,16.480921
reuters,5000,3,20,0.200000,42,42,tabulation,200,40,5,406,183,12497500,0.000015,0.999985,181,2,225,0.989071,0.445813,0.614601,53.869773,0.343119,16.095862,0.188636,16.627617
reuters,5000,3,20,0.200000,42,42,tabulation,200,50,4,406,288,12497500,0.000023,0.999977,270,18,136,0.937500,0.665025,0.778098,53.869773,0.343119,16.095862,0.164728,16.603709
reuters,5000,3,20,0.200000,42,42,tabulation,200,100,2,406,15341,12497500,0.001228,0.998772,406,14935,0,0.026465,1.000000,0.051565,53.869773,0.343119,16.095862,0.376554,16.815535
reuters,5000,5,20,0.200000,42,42,linear,50,5,10,250,63,12497500,0.000005,0.999995,63,0,187,1.000000,0.252000,0.402556,55.322787,0.375838,1.584054,0.096094,2.055986
reuters,5000,5,20,0.200000,42,42,linear,50,10,5,250,105,12497500,0.000008,0.999992,105,0,145,1.000000,0.420000,0.591549,55.322787,0.375838,1.584054,0.020302,1.980194
reuters,5000,5,20,0.200000,42,42,linear,50,25,2,250,544,12497500,0.000044,0.999956,220,324,30,0.404412,0.880000,0.554156,55.322787,0.375838,1.584054,0.109355,2.069247
reuters,5000,5,20,0.200000,42,42,linear,100,10,10,250,70,12497500,0.000006,0.999994,70,0,180,1.000000,0.280000,0.437500,55.322787,0.375838,2.603353,0.021046,3.000236
reuters,5000,5,20,0.200000,42,42,linear,100,20,5,250,126,12497500,0.000010,0.999990,123,3,127,0.976190,0.492000,0.654255,55.322787,0.375838,2.603353,0.099594,3.078784
reuters,5000,5,20,0.200000,42,42,linear,100,25,4,250,147,12497500,0.000012,0.999988,144,3,106,0.979592,0.576000,0.725441,55.322787,0.375838,2.603353,0.108126,3.087317
reuters,5000,5,20,0.200000,42,42,linear,100,50,2,250,773,12497500,0.000062,0.999938,247,526,3,0.319534,0.988000,0.482893,55.322787,0.375838,2.603353,0.164988,3.144179
reuters,5000,5,20,0.200000,42,42,linear,200,20,10,250,83,12497500,0.000007,0.999993,83,0,167,1.000000,0.332000,0.498498,55.322787,0.375838,4.652452,0.097035,5.125325
reuters,5000,5,20,0.200000,42,42,linear,200,40,5,250,156,12497500,0.000012,0.999988,153,3,97,0.980769,0.612000,0.753695,55.322787,0.375838,4.652452,0.145412,5.173702
reuters,5000,5,20,0.200000,42,42,linear,200,50,4,250,166,12497500,0.000013,0.999987,158,8,92,0.951807,0.632000,0.759615,55.322787,0.375838,4.652452,0.218350,5.246640
reuters,5000,5,20,0.200000,42,42,linear,200,100,2,250,1147,12497500,0.000092,0.999908,250,897,0,0.217960,1.000000,0.357910,55.322787,0.375838,4.652452,0.378878,5.407168
reuters,5000,5,20,0.200000,42,42,murmur,50,5,10,250,66,12497500,0.000005,0.999995,66,0,184,1.000000,0.264000,0.417722,55.322787,0.375838,5.418697,0.010792,5.805326
reuters,5000,5,20,0.200000,42,42,murmur,50,10,5,250,115,12497500,0.000009,0.999991,114,1,136,0.991304,0.456000,0.624658,55.322787,0.375838,5.418697,0.020979,5.815514
reuters,5000,5,20,0.200000,42,42,murmur,50,25,2,250,498,12497500,0.000040,0.999960,216,282,34,0.433735,0.864000,0.577540,55.322787,0.375838,5.418697,0.109901,5.904435
