dataset,num_hashes,hash_family,num_bands,rows_per_band,group,mean_similarity,num_pairs,num_hash_seeds,empirical_probability,empirical_standard_deviation,theoretical_probability,absolute_gap
reuters,200,murmur,20,10,0.050000,0.049747,30,5,0.000000,0.000000,0.000000,0.000000
reuters,200,murmur,20,10,0.100000,0.100999,30,5,0.000000,0.000000,0.000000,0.000000
reuters,200,murmur,20,10,0.150000,0.151037,30,5,0.000000,0.000000,0.000000,0.000000
reuters,200,murmur,20,10,0.200000,0.200671,30,5,0.000000,0.000000,0.000002,0.000002
reuters,200,murmur,20,10,0.250000,0.249770,30,5,0.000000,0.000000,0.000019,0.000019
reuters,200,murmur,20,10,0.300000,0.299662,30,5,0.000000,0.000000,0.000117,0.000117
reuters,200,murmur,20,10,0.350000,0.350624,30,5,0.000000,0.000000,0.000566,0.000566
reuters,200,murmur,20,10,0.400000,0.401484,30,5,0.000000,0.000000,0.002181,0.002181
reuters,200,murmur,20,10,0.450000,0.449904,30,5,0.006667,0.014907,0.006795,0.000129
reuters,200,murmur,20,10,0.500000,0.499034,30,5,0.000000,0.000000,0.019039,0.019039
reuters,200,murmur,20,10,0.550000,0.551962,30,5,0.060000,0.027889,0.051367,0.008633
reuters,200,murmur,20,10,0.600000,0.598585,30,5,0.146667,0.050553,0.112010,0.034656
reuters,200,murmur,20,10,0.650000,0.649071,30,5,0.253333,0.106979,0.234967,0.018366
reuters,200,murmur,20,10,0.700000,0.699535,30,5,0.453333,0.093095,0.434467,0.018866
reuters,200,murmur,20,10,0.750000,0.752392,30,5,0.713333,0.055777,0.697647,0.015686
reuters,200,murmur,20,10,0.800000,0.804290,30,5,0.946667,0.018257,0.907569,0.039097
reuters,200,murmur,20,10,0.850000,0.848506,30,5,0.993333,0.014907,0.985178,0.008156
reuters,200,murmur,20,10,0.900000,0.898824,30,5,1.000000,0.000000,0.999627,0.000373
reuters,200,murmur,20,10,0.950000,0.945649,30,5,1.000000,0.000000,0.999998,0.000002
reuters,200,murmur,40,5,0.050000,0.049747,30,5,0.000000,0.000000,0.000012,0.000012
reuters,200,murmur,40,5,0.100000,0.100999,30,5,0.000000,0.000000,0.000423,0.000423
reuters,200,murmur,40,5,0.150000,0.151037,30,5,0.000000,0.000000,0.003146,0.003146
reuters,200,murmur,40,5,0.200000,0.200671,30,5,0.013333,0.018257,0.012964,0.000369
reuters,200,murmur,40,5,0.250000,0.249770,30,5,0.026667,0.027889,0.038226,0.011560
reuters,200,murmur,40,5,0.300000,0.299662,30,5,0.126667,0.054772,0.092327,0.034339
reuters,200,murmur,40,5,0.350000,0.350624,30,5,0.186667,0.050553,0.191669,0.005002
reuters,200,murmur,40,5,0.400000,0.401484,30,5,0.380000,0.055777,0.342677,0.037323
reuters,200,murmur,40,5,0.450000,0.449904,30,5,0.580000,0.076739,0.524906,0.055094
reuters,200,murmur,40,5,0.500000,0.499034,30,5,0.666667,0.052705,0.715514,0.048847
reuters,200,murmur,40,5,0.550000,0.551962,30,5,0.840000,0.072265,0.877667,0.037667
reuters,200,murmur,40,5,0.600000,0.598585,30,5,0.986667,0.018257,0.958872,0.027795
reuters,200,murmur,40,5,0.650000,0.649071,30,5,0.993333,0.014907,0.992369,0.000965
reuters,200,murmur,40,5,0.700000,0.699535,30,5,1.000000,0.000000,0.999312,0.000688
reuters,200,murmur,40,5,0.750000,0.752392,30,5,1.000000,0.000000,0.999981,0.000019
reuters,200,murmur,40,5,0.800000,0.804290,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,40,5,0.850000,0.848506,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,40,5,0.900000,0.898824,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,40,5,0.950000,0.945649,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,50,4,0.050000,0.049747,30,5,0.000000,0.000000,0.000310,0.000310
reuters,200,murmur,50,4,0.100000,0.100999,30,5,0.000000,0.000000,0.005207,0.005207
reuters,200,murmur,50,4,0.150000,0.151037,30,5,0.006667,0.014907,0.025722,0.019055
reuters,200,murmur,50,4,0.200000,0.200671,30,5,0.080000,0.038006,0.078036,0.001964
reuters,200,murmur,50,4,0.250000,0.249770,30,5,0.220000,0.112052,0.177285,0.042715
reuters,200,murmur,50,4,0.300000,0.299662,30,5,0.300000,0.113039,0.332986,0.032986
reuters,200,murmur,50,4,0.350000,0.350624,30,5,0.613333,0.076739,0.533004,0.080329
reuters,200,murmur,50,4,0.400000,0.401484,30,5,0.693333,0.092496,0.731759,0.038426
reuters,200,murmur,50,4,0.450000,0.449904,30,5,0.826667,0.072265,0.876326,0.049659
reuters,200,murmur,50,4,0.500000,0.499034,30,5,0.946667,0.029814,0.959094,0.012428
reuters,200,murmur,50,4,0.550000,0.551962,30,5,0.986667,0.018257,0.992230,0.005563
reuters,200,murmur,50,4,0.600000,0.598585,30,5,1.000000,0.000000,0.998932,0.001068
reuters,200,murmur,50,4,0.650000,0.649071,30,5,1.000000,0.000000,0.999939,0.000061
reuters,200,murmur,50,4,0.700000,0.699535,30,5,1.000000,0.000000,0.999999,0.000001
reuters,200,murmur,50,4,0.750000,0.752392,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,50,4,0.800000,0.804290,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,50,4,0.850000,0.848506,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,50,4,0.900000,0.898824,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,50,4,0.950000,0.945649,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.050000,0.049747,30,5,0.160000,0.027889,0.219690,0.059690
reuters,200,murmur,100,2,0.100000,0.100999,30,5,0.546667,0.055777,0.641101,0.094434
reuters,200,murmur,100,2,0.150000,0.151037,30,5,0.926667,0.054772,0.900320,0.026347
reuters,200,murmur,100,2,0.200000,0.200671,30,5,0.993333,0.014907,0.983477,0.009856
reuters,200,murmur,100,2,0.250000,0.249770,30,5,1.000000,0.000000,0.998383,0.001617
reuters,200,murmur,100,2,0.300000,0.299662,30,5,1.000000,0.000000,0.999916,0.000084
reuters,200,murmur,100,2,0.350000,0.350624,30,5,1.000000,0.000000,0.999998,0.000002
reuters,200,murmur,100,2,0.400000,0.401484,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.450000,0.449904,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.500000,0.499034,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.550000,0.551962,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.600000,0.598585,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.650000,0.649071,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.700000,0.699535,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.750000,0.752392,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.800000,0.804290,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.850000,0.848506,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.900000,0.898824,30,5,1.000000,0.000000,1.000000,0.000000
reuters,200,murmur,100,2,0.950000,0.945649,30,5,1.000000,0.000000,1.000000,0.000000
