dataset,num_hashes,hash_family,num_bands,rows_per_band,group,mean_similarity,num_pairs,num_hash_seeds,empirical_probability,empirical_standard_deviation,theoretical_probability,absolute_gap,bin_lower,bin_upper
20_newsgroups,200,murmur,20,10,0,0.000002,50000,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000
20_newsgroups,200,murmur,20,10,1,0.076129,144,5,0.000000,0.000000,0.000000,0.000000,0.050000,0.100000
20_newsgroups,200,murmur,20,10,2,0.120117,87,5,0.000000,0.000000,0.000000,0.000000,0.100000,0.150000
20_newsgroups,200,murmur,20,10,3,0.174622,85,5,0.000000,0.000000,0.000001,0.000001,0.150000,0.200000
20_newsgroups,200,murmur,20,10,4,0.224755,69,5,0.000000,0.000000,0.000008,0.000008,0.200000,0.250000
20_newsgroups,200,murmur,20,10,5,0.270292,57,5,0.000000,0.000000,0.000049,0.000049,0.250000,0.300000
20_newsgroups,200,murmur,20,10,6,0.328032,20,5,0.000000,0.000000,0.000305,0.000305,0.300000,0.350000
20_newsgroups,200,murmur,20,10,7,0.371188,20,5,0.000000,0.000000,0.001072,0.001072,0.350000,0.400000
20_newsgroups,200,murmur,20,10,8,0.421061,10,5,0.000000,0.000000,0.003726,0.003726,0.400000,0.450000
20_newsgroups,200,murmur,20,10,9,0.477807,10,5,0.000000,0.000000,0.012684,0.012684,0.450000,0.500000
20_newsgroups,200,murmur,20,10,10,0.528271,3,5,0.000000,0.000000,0.034231,0.034231,0.500000,0.550000
20_newsgroups,200,murmur,20,10,11,0.582740,5,5,0.120000,0.178885,0.087377,0.032623,0.550000,0.600000
20_newsgroups,200,murmur,20,10,12,0.622848,3,5,0.133333,0.182574,0.166509,0.033176,0.600000,0.650000
20_newsgroups,200,murmur,20,10,14,0.739548,2,5,0.700000,0.273861,0.633325,0.066675,0.700000,0.750000
20_newsgroups,200,murmur,20,10,15,0.761379,3,5,0.800000,0.298142,0.741257,0.058743,0.750000,0.800000
20_newsgroups,200,murmur,20,10,16,0.819946,2,5,1.000000,0.000000,0.947342,0.052658,0.800000,0.850000
20_newsgroups,200,murmur,20,10,17,0.876543,1,5,1.000000,0.000000,0.998036,0.001964,0.850000,0.900000
20_newsgroups,200,murmur,20,10,18,0.924658,1,5,1.000000,0.000000,0.999995,0.000005,0.900000,0.950000
20_newsgroups,200,murmur,20,10,19,1.000000,5,5,1.000000,0.000000,1.000000,0.000000,0.950000,1.000000
20_newsgroups,200,murmur,40,5,0,0.000002,50000,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000
20_newsgroups,200,murmur,40,5,1,0.076129,144,5,0.000000,0.000000,0.000135,0.000135,0.050000,0.100000
20_newsgroups,200,murmur,40,5,2,0.120117,87,5,0.000000,0.000000,0.001147,0.001147,0.100000,0.150000
20_newsgroups,200,murmur,40,5,3,0.174622,85,5,0.002353,0.005261,0.006872,0.004519,0.150000,0.200000
20_newsgroups,200,murmur,40,5,4,0.224755,69,5,0.008696,0.007938,0.023479,0.014784,0.200000,0.250000
20_newsgroups,200,murmur,40,5,5,0.270292,57,5,0.052632,0.039229,0.057949,0.005318,0.250000,0.300000
20_newsgroups,200,murmur,40,5,6,0.328032,20,5,0.140000,0.155724,0.142519,0.002519,0.300000,0.350000
20_newsgroups,200,murmur,40,5,7,0.371188,20,5,0.250000,0.106066,0.248676,0.001324,0.350000,0.400000
20_newsgroups,200,murmur,40,5,8,0.421061,10,5,0.360000,0.151658,0.414448,0.054448,0.400000,0.450000
20_newsgroups,200,murmur,40,5,9,0.477807,10,5,0.720000,0.192354,0.634762,0.085238,0.450000,0.500000
20_newsgroups,200,murmur,40,5,10,0.528271,3,5,0.866667,0.182574,0.811498,0.055169,0.500000,0.550000
20_newsgroups,200,murmur,40,5,11,0.582740,5,5,0.960000,0.089443,0.936969,0.023031,0.550000,0.600000
20_newsgroups,200,murmur,40,5,12,0.622848,3,5,1.000000,0.000000,0.977843,0.022157,0.600000,0.650000
20_newsgroups,200,murmur,40,5,14,0.739548,2,5,1.000000,0.000000,0.999950,0.000050,0.700000,0.750000
20_newsgroups,200,murmur,40,5,15,0.761379,3,5,1.000000,0.000000,0.999991,0.000009,0.750000,0.800000
20_newsgroups,200,murmur,40,5,16,0.819946,2,5,1.000000,0.000000,1.000000,0.000000,0.800000,0.850000
20_newsgroups,200,murmur,40,5,17,0.876543,1,5,1.000000,0.000000,1.000000,0.000000,0.850000,0.900000
20_newsgroups,200,murmur,40,5,18,0.924658,1,5,1.000000,0.000000,1.000000,0.000000,0.900000,0.950000
20_newsgroups,200,murmur,40,5,19,1.000000,5,5,1.000000,0.000000,1.000000,0.000000,0.950000,1.000000
20_newsgroups,200,murmur,50,4,0,0.000002,50000,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000
20_newsgroups,200,murmur,50,4,1,0.076129,144,5,0.000000,0.000000,0.001998,0.001998,0.050000,0.100000
20_newsgroups,200,murmur,50,4,2,0.120117,87,5,0.006897,0.010281,0.011233,0.004337,0.100000,0.150000
20_newsgroups,200,murmur,50,4,3,0.174622,85,5,0.011765,0.008319,0.047000,0.035236,0.150000,0.200000
20_newsgroups,200,murmur,50,4,4,0.224755,69,5,0.057971,0.035500,0.121962,0.063991,0.200000,0.250000
20_newsgroups,200,murmur,50,4,5,0.270292,57,5,0.168421,0.072971,0.237559,0.069138,0.250000,0.300000
20_newsgroups,200,murmur,50,4,6,0.328032,20,5,0.310000,0.201246,0.441931,0.131931,0.300000,0.350000
20_newsgroups,200,murmur,50,4,7,0.371188,20,5,0.500000,0.150000,0.615373,0.115373,0.350000,0.400000
20_newsgroups,200,murmur,50,4,8,0.421061,10,5,0.700000,0.100000,0.794442,0.094442,0.400000,0.450000
20_newsgroups,200,murmur,50,4,9,0.477807,10,5,0.900000,0.100000,0.929258,0.029258,0.450000,0.500000
20_newsgroups,200,murmur,50,4,10,0.528271,3,5,0.933333,0.149071,0.981407,0.048073,0.500000,0.550000
20_newsgroups,200,murmur,50,4,11,0.582740,5,5,1.000000,0.000000,0.997635,0.002365,0.550000,0.600000
20_newsgroups,200,murmur,50,4,12,0.622848,3,5,1.000000,0.000000,0.999584,0.000416,0.600000,0.650000
