dataset,num_hashes,hash_family,num_bands,rows_per_band,group,mean_similarity,num_pairs,num_hash_seeds,empirical_probability,empirical_standard_deviation,theoretical_probability,absolute_gap,bin_lower,bin_upper
reuters,200,murmur,20,10,0,0.000046,50000,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000
reuters,200,murmur,20,10,1,0.065911,787,5,0.000000,0.000000,0.000000,0.000000,0.050000,0.100000
reuters,200,murmur,20,10,2,0.121062,192,5,0.000000,0.000000,0.000000,0.000000,0.100000,0.150000
reuters,200,murmur,20,10,3,0.175181,77,5,0.000000,0.000000,0.000001,0.000001,0.150000,0.200000
reuters,200,murmur,20,10,4,0.220258,41,5,0.000000,0.000000,0.000006,0.000006,0.200000,0.250000
reuters,200,murmur,20,10,5,0.269003,42,5,0.000000,0.000000,0.000047,0.000047,0.250000,0.300000
reuters,200,murmur,20,10,6,0.325412,21,5,0.000000,0.000000,0.000289,0.000289,0.300000,0.350000
reuters,200,murmur,20,10,7,0.372409,14,5,0.000000,0.000000,0.001101,0.001101,0.350000,0.400000
reuters,200,murmur,20,10,8,0.424001,7,5,0.000000,0.000000,0.004051,0.004051,0.400000,0.450000
reuters,200,murmur,20,10,9,0.483808,8,5,0.025000,0.055902,0.014177,0.010823,0.450000,0.500000
reuters,200,murmur,20,10,10,0.512537,3,5,0.000000,0.000000,0.024985,0.024985,0.500000,0.550000
reuters,200,murmur,20,10,11,0.574280,6,5,0.066667,0.091287,0.077705,0.011038,0.550000,0.600000
reuters,200,murmur,20,10,12,0.623110,6,5,0.200000,0.298142,0.165305,0.034695,0.600000,0.650000
reuters,200,murmur,20,10,13,0.661576,10,5,0.200000,0.158114,0.277489,0.077489,0.650000,0.700000
reuters,200,murmur,20,10,14,0.715536,4,5,0.650000,0.285044,0.512265,0.137735,0.700000,0.750000
reuters,200,murmur,20,10,15,0.776924,4,5,0.800000,0.111803,0.806287,0.006287,0.750000,0.800000
reuters,200,murmur,20,10,16,0.825350,5,5,0.880000,0.109545,0.952732,0.072732,0.800000,0.850000
reuters,200,murmur,20,10,17,0.873150,7,5,1.000000,0.000000,0.995468,0.004532,0.850000,0.900000
reuters,200,murmur,20,10,18,0.915924,3,5,1.000000,0.000000,0.999932,0.000068,0.900000,0.950000
reuters,200,murmur,20,10,19,0.996480,47,5,1.000000,0.000000,1.000000,0.000000,0.950000,1.000000
reuters,200,murmur,40,5,0,0.000046,50000,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000
reuters,200,murmur,40,5,1,0.065911,787,5,0.000254,0.000568,0.000074,0.000180,0.050000,0.100000
reuters,200,murmur,40,5,2,0.121062,192,5,0.001042,0.002329,0.001187,0.000145,0.100000,0.150000
reuters,200,murmur,40,5,3,0.175181,77,5,0.002597,0.005808,0.006984,0.004387,0.150000,0.200000
reuters,200,murmur,40,5,4,0.220258,41,5,0.009756,0.021815,0.021231,0.011475,0.200000,0.250000
reuters,200,murmur,40,5,5,0.269003,42,5,0.023810,0.041239,0.056625,0.032816,0.250000,0.300000
reuters,200,murmur,40,5,6,0.325412,21,5,0.133333,0.085184,0.137900,0.004567,0.300000,0.350000
reuters,200,murmur,40,5,7,0.372409,14,5,0.285714,0.242226,0.252062,0.033653,0.350000,0.400000
reuters,200,murmur,40,5,8,0.424001,7,5,0.428571,0.303046,0.425958,0.002614,0.400000,0.450000
reuters,200,murmur,40,5,9,0.483808,8,5,0.675000,0.259206,0.658144,0.016856,0.450000,0.500000
reuters,200,murmur,40,5,10,0.512537,3,5,0.800000,0.447214,0.762501,0.037499,0.500000,0.550000
reuters,200,murmur,40,5,11,0.574280,6,5,0.800000,0.182574,0.920541,0.120541,0.550000,0.600000
reuters,200,murmur,40,5,12,0.623110,6,5,0.966667,0.074536,0.978891,0.012224,0.600000,0.650000
reuters,200,murmur,40,5,13,0.661576,10,5,0.980000,0.044721,0.995394,0.015394,0.650000,0.700000
reuters,200,murmur,40,5,14,0.715536,4,5,1.000000,0.000000,0.999699,0.000301,0.700000,0.750000
reuters,200,murmur,40,5,15,0.776924,4,5,1.000000,0.000000,0.999994,0.000006,0.750000,0.800000
reuters,200,murmur,40,5,16,0.825350,5,5,1.000000,0.000000,1.000000,0.000000,0.800000,0.850000
reuters,200,murmur,40,5,17,0.873150,7,5,1.000000,0.000000,1.000000,0.000000,0.850000,0.900000
reuters,200,murmur,40,5,18,0.915924,3,5,1.000000,0.000000,1.000000,0.000000,0.900000,0.950000
reuters,200,murmur,40,5,19,0.996480,47,5,1.000000,0.000000,1.000000,0.000000,0.950000,1.000000
reuters,200,murmur,50,4,0,0.000046,50000,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000
