similarity_bin_start,similarity_bin_end,similarity_bin_center,total_pairs,candidate_pairs,empirical_probability,theoretical_probability
0.0,0.05,0.025,1998914,1,1e-06,0.060605
0.05,0.1,0.075,29,8,0.275862,0.431121
0.1,0.15,0.125,18,13,0.722222,0.792958
0.15,0.2,0.175,13,10,0.769231,0.955416
0.2,0.25,0.225,7,7,1.0,0.994457
0.25,0.3,0.275,6,6,1.0,0.999616
0.3,0.35,0.325,1,1,1.0,0.999986
0.35,0.4,0.375,3,3,1.0,1.0
0.4,0.45,0.425,4,4,1.0,1.0
0.45,0.5,0.475,0,0,,1.0
0.5,0.55,0.525,2,2,1.0,1.0
0.55,0.6,0.575,0,0,,1.0
0.6,0.65,0.625,0,0,,1.0
0.65,0.7,0.675,0,0,,1.0
0.7,0.75,0.725,1,1,1.0,1.0
0.75,0.8,0.775,1,1,1.0,1.0
0.8,0.85,0.825,0,0,,1.0
0.85,0.9,0.875,1,1,1.0,1.0
0.9,0.95,0.925,0,0,,1.0
0.95,1.0,0.975,0,0,,1.0
