document_i,document_j,pair_type,num_bits,exact_jaccard,exact_cosine,hamming_distance,estimated_cosine,absolute_error
502,647,similar,64,0.392157,0.819601,12,0.831470,0.011868
502,647,similar,128,0.392157,0.819601,20,0.881921,0.062320
502,647,similar,256,0.392157,0.819601,39,0.887640,0.068038
502,967,similar,64,0.392157,0.766149,13,0.803208,0.037059
502,967,similar,128,0.392157,0.766149,23,0.844854,0.078705
502,967,similar,256,0.392157,0.766149,42,0.870087,0.103938
647,967,similar,64,0.312500,0.728571,19,0.595699,0.132872
647,967,similar,128,0.312500,0.728571,33,0.689541,0.039031
647,967,similar,256,0.312500,0.728571,55,0.780737,0.052166
294,899,similar,64,0.245033,0.524877,15,0.740951,0.216074
294,899,similar,128,0.245033,0.524877,42,0.514103,0.010774
294,899,similar,256,0.245033,0.524877,89,0.460539,0.064338
192,548,similar,64,0.241860,0.797470,10,0.881921,0.084451
192,548,similar,128,0.241860,0.797470,23,0.844854,0.047384
192,548,similar,256,0.241860,0.797470,51,0.810457,0.012987
422,502,similar,64,0.188679,0.517801,18,0.634393,0.116592
422,502,similar,128,0.188679,0.517801,43,0.492898,0.024903
422,502,similar,256,0.188679,0.517801,83,0.524590,0.006788
422,647,similar,64,0.168067,0.466001,18,0.634393,0.168392
422,647,similar,128,0.168067,0.466001,45,0.449611,0.016390
422,647,similar,256,0.168067,0.466001,94,0.405241,0.060760
422,967,similar,64,0.168067,0.466001,25,0.336890,0.129111
422,967,similar,128,0.168067,0.466001,48,0.382683,0.083318
422,967,similar,256,0.168067,0.466001,89,0.460539,0.005463
14,413,similar,64,0.156250,0.468390,25,0.336890,0.131500
14,413,similar,128,0.156250,0.468390,44,0.471397,0.003007
14,413,similar,256,0.156250,0.468390,85,0.503538,0.035149
148,607,similar,64,0.133603,0.579695,24,0.382683,0.197012
148,607,similar,128,0.133603,0.579695,43,0.492898,0.086797
148,607,similar,256,0.133603,0.579695,76,0.595699,0.016004
306,420,similar,64,0.124127,0.828262,14,0.773010,0.055251
306,420,similar,128,0.124127,0.828262,33,0.689541,0.138721
306,420,similar,256,0.124127,0.828262,56,0.773010,0.055251
109,328,similar,64,0.121662,0.561951,15,0.740951,0.179001
109,328,similar,128,0.121662,0.561951,32,0.707107,0.145156
109,328,similar,256,0.121662,0.561951,75,0.605511,0.043560
657,687,similar,64,0.121622,0.494632,19,0.595699,0.101067
657,687,similar,128,0.121622,0.494632,41,0.534998,0.040365
657,687,similar,256,0.121622,0.494632,84,0.514103,0.019470
9,526,similar,64,0.112094,0.865847,7,0.941544,0.075697
9,526,similar,128,0.112094,0.865847,16,0.923880,0.058033
9,526,similar,256,0.112094,0.865847,29,0.937339,0.071492
409,508,similar,64,0.096386,0.390670,22,0.471397,0.080727
409,508,similar,128,0.096386,0.390670,51,0.313682,0.076988
409,508,similar,256,0.096386,0.390670,101,0.325310,0.065360
34,502,similar,64,0.090909,0.581129,19,0.595699,0.014570
34,502,similar,128,0.090909,0.581129,42,0.514103,0.067026
34,502,similar,256,0.090909,0.581129,79,0.565732,0.015397
34,647,similar,64,0.085837,0.548774,21,0.514103,0.034671
34,647,similar,128,0.085837,0.548774,44,0.471397,0.077377
34,647,similar,256,0.085837,0.548774,82,0.534998,0.013776
34,967,similar,64,0.085837,0.585013,24,0.382683,0.202330
34,967,similar,128,0.085837,0.585013,47,0.405241,0.179772
34,967,similar,256,0.085837,0.585013,77,0.585798,0.000784
668,860,similar,64,0.081081,0.523850,25,0.336890,0.186960
668,860,similar,128,0.081081,0.523850,52,0.290285,0.233565
