dataset,documents,repetition,k,min_shingles,sample_seed,hash_seed,hash_family,num_hashes,num_bands,rows_per_band,total_possible_pairs,candidate_fraction,candidate_reduction,lsh_candidate_pairs,shingling_time_seconds,signature_time_seconds,lsh_time_seconds,total_runtime_seconds
wikipedia,500,1,5,20,42,42,murmur,200,50,4,124750,0.000265,0.999735,33,0.368983,23.941852,0.055699,24.366534
wikipedia,500,2,5,20,42,42,murmur,200,50,4,124750,0.000265,0.999735,33,0.408464,23.817050,0.055126,24.280640
wikipedia,500,3,5,20,42,42,murmur,200,50,4,124750,0.000265,0.999735,33,0.467817,24.027509,0.046654,24.541980
wikipedia,1000,1,5,20,42,42,murmur,200,50,4,499500,0.000358,0.999642,179,0.964236,45.989371,0.137014,47.090622
wikipedia,1000,2,5,20,42,42,murmur,200,50,4,499500,0.000358,0.999642,179,0.969414,47.119944,0.125517,48.214874
wikipedia,1000,3,5,20,42,42,murmur,200,50,4,499500,0.000358,0.999642,179,0.983740,55.381731,0.108299,56.473770
wikipedia,2000,1,5,20,42,42,murmur,200,50,4,1999000,0.000321,0.999679,641,1.929714,100.762081,0.221145,102.912941
wikipedia,2000,2,5,20,42,42,murmur,200,50,4,1999000,0.000321,0.999679,641,2.024298,98.099008,0.236014,100.359319
wikipedia,2000,3,5,20,42,42,murmur,200,50,4,1999000,0.000321,0.999679,641,2.123554,101.419918,0.253093,103.796565
wikipedia,3000,1,5,20,42,42,murmur,200,50,4,4498500,0.000356,0.999644,1603,2.910677,74.236852,0.268442,77.415972
wikipedia,3000,2,5,20,42,42,murmur,200,50,4,4498500,0.000356,0.999644,1603,2.155606,103.396450,0.285473,105.837529
wikipedia,3000,3,5,20,42,42,murmur,200,50,4,4498500,0.000356,0.999644,1603,2.155481,97.306683,0.289945,99.752110
wikipedia,5000,1,5,20,42,42,murmur,200,50,4,12497500,0.000353,0.999647,4411,3.568859,119.841853,0.769706,124.180418
wikipedia,5000,2,5,20,42,42,murmur,200,50,4,12497500,0.000353,0.999647,4411,3.505809,169.402226,0.790625,173.698660
wikipedia,5000,3,5,20,42,42,murmur,200,50,4,12497500,0.000353,0.999647,4411,3.696341,177.321131,0.782633,181.800105
wikipedia,7500,1,5,20,42,42,murmur,200,50,4,28121250,0.000323,0.999677,9097,5.083366,266.272173,1.551081,272.906620
wikipedia,7500,2,5,20,42,42,murmur,200,50,4,28121250,0.000323,0.999677,9097,5.251769,252.441979,1.428009,259.121758
wikipedia,7500,3,5,20,42,42,murmur,200,50,4,28121250,0.000323,0.999677,9097,5.196860,264.026130,1.483304,270.706294
wikipedia,10000,1,5,20,42,42,murmur,200,50,4,49995000,0.000275,0.999725,13760,7.140388,358.299995,2.464188,367.904571
wikipedia,10000,2,5,20,42,42,murmur,200,50,4,49995000,0.000275,0.999725,13760,7.344919,345.947604,2.494692,355.787215
wikipedia,10000,3,5,20,42,42,murmur,200,50,4,49995000,0.000275,0.999725,13760,7.348603,349.122711,2.674711,359.146025
